,OBJECTID,Shape,shape_id,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_type_text,whole_route_length_km,jlm_route_length_km,percent_inside_jlm,Shape_Length,routeid,Direction,Alternative
355,356,"(35.08328306467404, 31.815446065143377)",137559,27417,34,118,ת. מרכזית מודיעין מכבים רעות-מודיעין מכבים רעות<->אצטדיון טדי/א''ס ביתר-ירושלים-1#,16118-1-#,3,,Bus,38.5099983215332,10.010000228881836,0.2599324882030487,0.38506466336515516,16118,1,#
356,357,"(35.08641342491324, 31.814194472117926)",137560,27418,34,118,אצטדיון טדי/א''ס ביתר-ירושלים<->שדרות החשמונאים/לב העיר-מודיעין מכבים רעות-2#,16118-2-#,3,,Bus,38.220001220703125,10.390000343322754,0.2718471884727478,0.3822341381860273,16118,2,#
357,358,"(35.21344832231342, 31.80326936877999)",137572,16018,3,813,חזון איש/מסוף רמת שלמה-ירושלים<->מלכי ישראל/תחכמוני-ירושלים-1כ,10813-1-כ,3,FF9933,Bus,7.809999942779541,7.809999942779541,1.0,0.07812308107608307,10813,1,כ
358,359,"(35.212490827856385, 31.80395306257066)",137573,16019,3,813,הרב בצלאל זולטי/רבי שלמה זלמן דרוק-ירושלים<->מלכי ישראל/תחכמוני-ירושלים-1צ,10813-1-צ,3,FF9933,Bus,7.670000076293945,7.670000076293945,1.0,0.0766767142033587,10813,1,צ
359,360,"(35.16534993495829, 31.795046725641114)",137592,17102,34,180,היכל המשפט/אבא אבן-ירושלים<->מזכירות-בית זית-10,16180-1-0,3,,Bus,14.010000228881836,7.710000038146973,0.5503212213516235,0.14007456892197295,16180,1,0
360,361,"(35.19248675500128, 31.79639766866012)",137926,26272,3,842,כפר שאול/קצנלבוגן-ירושלים<->שדרות גולדה מאיר/יצחק מירסקי-ירושלים-19,11842-1-9,3,FF9933,Bus,10.960000038146973,10.960000038146973,1.0,0.10957274358725179,11842,1,9
361,362,"(35.18759611089693, 31.798427835184988)",137927,26273,3,842,שדרות גולדה מאיר/יצחק מירסקי-ירושלים<->רוזנטל-ירושלים-29,11842-2-9,3,FF9933,Bus,13.239999771118164,13.130000114440918,0.9916918873786926,0.1323997455166407,11842,2,9
362,363,"(35.21434375669351, 31.765631665459345)",138008,34919,16,97,מסוף/רמת רחל-רמת רחל<->מסוף/רמת רחל-רמת רחל-30,35097-3-0,3,,Bus,19.59000015258789,19.59000015258789,1.0,0.19590732591744217,35097,3,0
363,364,"(35.16898012658098, 31.73524418348984)",138021,10568,18,224,מעגלי הרי''ם לוין/האדמורים מגור-ירושלים<->האדמו''ר מרוז'ין/בעל התניא-ביתר עילית-2#,11224-2-#,3,,Bus,27.43000030517578,14.069999694824219,0.5129420161247253,0.27434485774334283,11224,2,#
364,365,"(35.171491713302856, 31.749638071366245)",138027,10557,18,221,שיבת ציון/טללים-ירושלים<->האדמו''ר מרוז'ין/בעל התניא-ביתר עילית-2#,13221-2-#,3,,Bus,32.31999969482422,18.799999237060547,0.5816831588745117,0.3232401652162802,13221,2,#
365,366,"(35.16510369606003, 31.72917055711237)",138028,10584,18,290,חניון הרטום-ירושלים<->האדמו''ר מרוז'ין/בעל התניא-ביתר עילית-2#,13290-2-#,3,,Bus,25.079999923706055,11.720000267028809,0.46730464696884155,0.25083720696867673,13290,2,#
366,367,"(35.173930290404215, 31.74423749927691)",138034,10559,18,222,אגרות משה/חזון איש-ירושלים<->האדמו''ר מרוז'ין/בעל התניא-ביתר עילית-2#,16222-2-#,3,,Bus,30.670000076293945,17.309999465942383,0.5643951296806335,0.3066817515361465,16222,2,#
367,368,"(35.23354997083537, 31.822249400365596)",138077,6065,38,790,אגרות משה/חזון איש-ירושלים<->וינוגרד/זווין-ירושלים-2#,11790-2-#,3,FF9933,Bus,12.640000343322754,12.279999732971191,0.9715189337730408,0.12637027858392522,11790,2,#
368,369,"(35.19248592470159, 31.784311603121623)",138231,20295,16,516,מירסקי/מינץ-ירושלים<->מסוף אגד/בנבנישתי-ירושלים-10,10516-1-0,3,,Bus,14.75,14.59000015258789,0.9891525506973267,0.14754006653705287,10516,1,0
369,370,"(35.26258508697059, 31.840670876590092)",138234,35160,4,473,מסוף שער בנימין/איסוף-מטה בנימין<->תחנת רכבת קלה גבעת התחמושת-ירושלים-2#,17473-2-#,3,,Bus,20.31999969482422,5.739999771118164,0.28248029947280884,0.20321154816136694,17473,2,#
370,371,"(35.192868269148725, 31.78159124979502)",138235,20296,16,516,דרך דוד בנבנישתי-ירושלים<->מירסקי/מינץ-ירושלים-20,10516-2-0,3,,Bus,17.0,16.889999389648438,0.9935293793678284,0.16998936921504115,10516,2,0
371,372,"(35.21786080386311, 31.76127737052063)",138265,35033,16,90,תחנה תפעולית/חניון תלפיות מזרח-ירושלים<->רב החובל/אדם-ירושלים-30,33090-3-0,3,,Bus,24.920000076293945,24.920000076293945,1.0,0.2492116832067531,33090,3,0
372,373,"(35.11123148158797, 31.7446154319507)",138335,16210,18,194,הזית ב-מטע<->בנייני האומה/הנשיא השישי-ירושלים-20,11194-2-0,3,,Bus,44.529998779296875,11.75,0.263867050409317,0.4453134702945384,11194,2,0
373,374,"(35.13446116885337, 31.728468313910003)",138336,15445,18,192,בנייני האומה/הנשיא השישי-ירושלים<->מבוא היערה/דרך חלמית-נס הרים-10,12192-1-0,3,,Bus,34.790000915527344,10.229999542236328,0.294050008058548,0.3478840623841225,12192,1,0
374,375,"(35.13438495707359, 31.728131784769182)",138337,15450,18,192,לבנה/מעלה הקטלב-נס הרים<->בנייני האומה/הנשיא השישי-ירושלים-20,12192-2-0,3,,Bus,34.59000015258789,10.069999694824219,0.2911245822906494,0.3459357002892367,12192,2,0
375,376,"(35.13170217246822, 31.752763524769573)",138381,15554,18,284,ממילא/קריב-ירושלים<->שד.הרי יהודה/הר כתרון-צור הדסה-10,21284-1-0,3,9933FF,Bus,35.310001373291016,14.600000381469727,0.41348060965538025,0.35307522560464066,21284,1,0
376,377,"(35.202580069763535, 31.778626695006917)",138508,6066,3,791,מרכז מסחרי/אורוגוואי-ירושלים<->אגרות משה/חזון איש-ירושלים-1#,10791-1-#,3,FF9933,Bus,19.239999771118164,19.239999771118164,1.0,0.19236008292799806,10791,1,#
377,378,"(35.183827716580666, 31.788134121364273)",138511,16000,3,802,ירמיהו/מנחת יצחק-ירושלים<->קצנלבוגן/הפלאה-ירושלים-2#,10802-2-#,3,FF9933,Bus,8.170000076293945,8.170000076293945,1.0,0.08168078620726557,10802,2,#
378,379,"(35.23269656043707, 31.819457767515523)",138512,16024,3,815,הרב ש''י זווין/הרב וינוגרד-ירושלים<->מלכי ישראל/תחכמוני-ירושלים-1#,10815-1-#,3,FF9933,Bus,11.670000076293945,11.270000457763672,0.9657241106033325,0.11670234700829335,10815,1,#
379,380,"(35.23279627327278, 31.819171424920302)",138513,16025,3,815,מלכי ישראל/בן מתתיהו-ירושלים<->וינוגרד/זווין-ירושלים-2#,10815-2-#,3,FF9933,Bus,11.819999694824219,11.460000038146973,0.9695431590080261,0.11823275847390416,10815,2,#
380,381,"(35.20794050045, 31.793818147159396)",138514,19144,3,903,שרי ישראל/יפו-ירושלים<->בי''ס בית יעקב/עזרת תורה-ירושלים-1#,10903-1-#,3,FF9933,Bus,4.570000171661377,4.570000171661377,1.0,0.045657089693737066,10903,1,#
381,382,"(35.227383575448926, 31.814588288004874)",138521,29451,3,745,הרב ש''י זווין/הרב וינוגרד-ירושלים<->המ''ג/ירמיהו-ירושלים-1ב,12745-1-ב,3,FF9933,Bus,13.430000305175781,13.430000305175781,1.0,0.1342545803428661,12745,1,ב
