routeid_direction,East_JLM_lines,service_types,Directness_measurements,Settlements_lines,West_metropolin_lines,InJerusalem_lines,percent_problematic_trips,number_of_complaints,passengersnumber_thousands,socioeco_2019
13121-1,0.0,3,0.58,1.0,0.0,0.0,,0.0,0.143,4.76
13121-2,0.0,3,0.62,1.0,0.0,0.0,,0.0,0.142,6.0
13141-1,0.0,1,0.68,1.0,0.0,0.0,,0.0,1.326,2.86
13141-2,0.0,1,0.69,1.0,0.0,0.0,,0.0,1.564,3.5
13204-1,1.0,3,0.92,0.0,0.0,1.0,,0.0,0.947,2.0
13204-2,1.0,3,0.93,0.0,0.0,1.0,,0.0,1.136,2.0
13211-1,0.0,3,0.43,1.0,0.0,0.0,,0.0,0.148,3.06
13211-2,0.0,3,0.41,1.0,0.0,0.0,,0.0,0.023,5.74
13218-3,1.0,1,0.93,0.0,0.0,0.0,,0.0,32.226,2.15
13221-1,0.0,1,0.68,1.0,0.0,0.0,,0.0,0.036,1.0
13221-2,0.0,1,0.68,1.0,0.0,0.0,,0.0,0.064,1.95
13245-1,0.0,1,0.555,1.0,0.0,0.0,,0.0,3.444,1.005
13245-2,0.0,1,0.69,1.0,0.0,0.0,,0.0,3.11,1.99
13263-1,1.0,2,0.32499999999999996,0.0,0.0,0.0,,0.0,8.985,2.0
13263-2,1.0,2,0.35,0.0,0.0,0.0,,0.0,6.523,2.0
13270-1,0.0,2,0.57,1.0,0.0,0.0,,0.0,0.052,2.13
13270-2,0.0,2,0.56,1.0,0.0,0.0,,0.0,0.006,2.73
13272-3,1.0,3,0.67,0.0,0.0,1.0,,0.0,0.051,2.0
13273-3,1.0,3,0.89,0.0,0.0,1.0,,0.0,24.449,2.0
13290-1,0.0,1,0.73,1.0,0.0,0.0,,0.0,5.662,1.0466666666666666
13290-2,0.0,1,0.77,1.0,0.0,0.0,,0.0,4.405,1.96
13334-1,,1,,,,,,0.0,0.049,
13334-2,0.0,1,0.78,1.0,0.0,0.0,,0.0,0.037,2.0
13361-1,0.0,2,0.67,1.0,0.0,0.0,,0.0,0.735,5.43
13361-2,0.0,2,0.62,1.0,0.0,0.0,,0.0,0.764,5.47
13362-1,0.0,2,0.7,1.0,0.0,0.0,,0.0,1.004,5.61
13362-2,0.0,2,0.61,1.0,0.0,0.0,,0.0,0.865,5.1850000000000005
13387-1,0.0,1,0.59,1.0,0.0,0.0,,0.0,0.031,3.58
13387-2,0.0,1,0.65,1.0,0.0,0.0,,0.0,,7.31
13472-1,0.0,2,0.6,1.0,0.0,0.0,,0.0,0.225,3.78
13472-2,0.0,2,0.58,1.0,0.0,0.0,,0.0,0.515,4.74
14009-1,0.0,3,0.18,0.0,0.0,1.0,,0.0,12.115,2.0
14009-2,0.0,3,0.28,0.0,0.0,1.0,,0.0,13.766,2.0
14010-1,0.0,3,0.57,0.0,0.0,1.0,,0.0,8.071,2.0
14010-2,0.0,3,0.58,0.0,0.0,1.0,,0.0,8.213,2.0
14023-1,0.0,3,0.54,0.0,0.0,1.0,,0.0,0.031,2.0
14023-2,0.0,3,0.37,0.0,0.0,1.0,,0.0,0.018,2.0
14023-3,0.0,3,0.42,0.0,0.0,1.0,,0.0,10.446,2.0
14024-1,0.0,3,0.65,0.0,0.0,1.0,,0.0,0.276,2.0
14024-2,0.0,3,0.55,0.0,0.0,1.0,,0.0,0.788,2.0
14024-3,0.0,3,0.72,0.0,0.0,1.0,,0.0,16.451,2.0
14040-1,0.0,3,0.61,0.0,0.0,1.0,,0.0,1.078,2.0
14040-2,0.0,3,0.52,0.0,0.0,1.0,,0.0,0.971,2.0
14051-1,0.0,3,0.5,0.0,0.0,1.0,,0.0,0.402,2.0
14051-2,0.0,3,0.4,0.0,0.0,1.0,,0.0,0.459,2.0
14059-3,0.0,3,0.65,0.0,1.0,0.0,0.0,0.0,0.277,7.87
14126-2,0.0,3,0.7,1.0,0.0,0.0,,0.0,0.051,6.0
14136-1,0.0,3,1.0,0.0,0.0,1.0,,0.0,0.259,2.01
14136-2,0.0,3,1.0,0.0,0.0,1.0,,0.0,0.21,4.76
14144-1,0.0,1,0.57,1.0,0.0,0.0,,0.0,1.482,3.13
14144-2,0.0,1,0.57,1.0,0.0,0.0,,0.0,1.51,2.22
14203-1,1.0,3,0.65,0.0,0.0,1.0,,0.0,3.308,2.0
14203-2,1.0,3,0.69,0.0,0.0,1.0,,0.0,5.314,2.0
14226-1,0.0,1,0.61,1.0,0.0,0.0,,0.0,3.894,1.0466666666666666
14226-2,0.0,1,0.66,1.0,0.0,0.0,,0.0,3.989,1.99
14236-3,1.0,3,0.96,0.0,0.0,1.0,,0.0,13.106,2.0
14246-3,1.0,3,0.54,0.0,0.0,1.0,,0.0,3.671,2.0
14275-3,1.0,3,0.47,0.0,0.0,1.0,,0.0,13.958,2.0
14296-1,0.0,1,0.62,1.0,0.0,0.0,,0.0,0.186,1.0
14296-2,0.0,1,0.6,1.0,0.0,0.0,,0.0,0.074,2.0
14360-1,0.0,1,0.89,1.0,0.0,0.0,,0.0,2.943,7.0
14360-2,0.0,1,0.8899999999999999,1.0,0.0,0.0,,1.0,3.075,7.0
14506-1,0.0,3,0.69,0.0,0.0,1.0,,0.0,3.482,2.0
14506-2,0.0,3,0.68,0.0,0.0,1.0,,0.0,3.75,2.0
14580-3,0.0,3,0.8,0.0,0.0,1.0,,0.0,2.633,2.0
14860-1,0.0,3,0.47,0.0,0.0,1.0,,0.0,0.198,2.0
14860-2,0.0,3,0.44,0.0,0.0,1.0,,0.0,0.044,2.0
15014-1,0.0,3,0.34,0.0,0.0,1.0,,0.0,5.206,2.0
15014-2,0.0,3,0.39,0.0,0.0,1.0,,0.0,6.112,2.0
15019-1,0.0,3,0.7866666666666666,0.0,0.0,1.0,,1.0,28.226,2.0
15019-2,0.0,3,0.8825,0.0,0.0,1.0,,0.0,26.617,2.0
15026-3,0.0,3,0.76,0.0,0.0,1.0,,0.0,3.556,2.0
15031-1,0.0,3,0.66,0.0,0.0,1.0,,0.0,19.508,2.0
15031-2,0.0,3,0.6699999999999999,0.0,0.0,1.0,,0.0,19.192,2.0
15048-3,0.0,3,0.7150000000000001,0.0,0.0,1.0,,0.0,0.635,2.0
15049-1,,3,,,,,,0.0,1.188,
15049-2,,3,,,,,,0.0,0.42,
15098-1,0.0,3,0.61,0.0,0.0,1.0,,0.0,0.133,2.0
15098-2,0.0,3,0.57,0.0,0.0,1.0,,0.0,,2.0
15125-1,0.0,3,0.67,1.0,0.0,0.0,,0.0,0.102,3.4
15125-2,0.0,3,0.67,1.0,0.0,0.0,,0.0,0.305,6.0
15148-1,0.0,1,0.74,1.0,0.0,0.0,0.0,0.0,0.449,2.35
15148-2,0.0,1,0.78,1.0,0.0,0.0,,0.0,0.498,5.55
15166-1,0.0,3,0.63,1.0,0.0,0.0,,0.0,3.686,3.43
15166-2,,3,,,,,,0.0,3.415,
15285-2,,2,,,,,,0.0,0.577,
15285-3,1.0,2,0.47,0.0,0.0,0.0,,0.0,3.914,2.0
15289-1,0.0,2,0.74,0.0,1.0,0.0,,0.0,0.212,4.07
15289-2,0.0,2,0.65,0.0,1.0,0.0,,0.0,0.79,2.63
15504-3,0.0,3,0.69,0.0,0.0,1.0,,0.0,18.356,2.0
16020-1,0.0,3,0.56,0.0,0.0,1.0,,0.0,1.947,2.0
16020-2,0.0,3,0.58,0.0,0.0,1.0,,0.0,1.248,2.0
16020-3,0.0,3,0.55,0.0,0.0,1.0,,0.0,17.693,2.0
16028-1,0.0,3,0.7625,0.0,0.0,1.0,,0.0,3.296,2.0
16028-2,0.0,3,0.84,0.0,0.0,1.0,,0.0,3.622,2.0
16056-1,0.0,3,0.49,0.0,0.0,1.0,,0.0,0.245,2.0
16056-2,0.0,3,0.46,0.0,0.0,1.0,,0.0,0.166,2.0
16056-3,0.0,3,0.44,0.0,0.0,1.0,,0.0,46.067,2.0
16057-1,0.0,3,0.25,0.0,0.0,1.0,,0.0,15.658,2.0
16057-2,0.0,3,0.29,0.0,0.0,1.0,,0.0,16.568,2.0
16096-1,0.0,3,0.61,0.0,0.0,1.0,,0.0,0.434,2.0
16096-2,0.0,3,0.54,0.0,0.0,1.0,,0.0,0.274,2.0
16118-1,0.0,1,0.87,0.0,1.0,0.0,,0.0,1.092,8.82
16118-2,0.0,1,0.88,0.0,1.0,0.0,,0.0,0.916,3.35
16180-1,0.0,2,0.44,0.0,1.0,0.0,,0.0,0.659,7.74
16180-2,0.0,2,0.85,0.0,0.0,1.0,,0.0,0.361,7.64
16217-1,0.0,1,0.73,1.0,0.0,0.0,,0.0,0.011,9.0
16217-2,0.0,1,0.73,1.0,0.0,0.0,,0.0,0.101,2.0
16222-1,0.0,1,0.71,1.0,0.0,0.0,,0.0,0.043,1.0
16222-2,0.0,1,0.68,1.0,0.0,0.0,0.0,0.0,0.076,1.95
16239-1,0.0,1,0.71,1.0,0.0,0.0,,0.0,0.646,1.01
16239-2,0.0,1,0.74,1.0,0.0,0.0,,0.0,0.588,2.0
17021-1,0.0,3,0.61,0.0,0.0,1.0,,0.0,0.771,2.0
17021-2,0.0,3,0.51,0.0,0.0,1.0,,0.0,1.751,2.0
17021-3,0.0,3,0.88,0.0,0.0,1.0,,0.0,20.315,2.0
17055-1,0.0,3,0.46,0.0,0.0,1.0,,0.0,0.287,2.0
17055-2,0.0,3,0.42,0.0,0.0,1.0,,0.0,0.276,2.0
17055-3,0.0,3,0.43,0.0,0.0,1.0,,0.0,27.441,2.0
17071-1,0.0,3,0.73,0.0,0.0,1.0,,0.0,36.967,2.0
17071-2,0.0,3,0.73,0.0,0.0,1.0,,0.0,34.186,2.03
17072-1,0.0,3,0.8,0.0,0.0,1.0,,0.0,33.167,2.0
17072-2,0.0,3,0.79,0.0,0.0,1.0,,0.0,36.178,2.03
17108-1,0.0,3,0.51,0.0,0.0,1.0,,0.0,0.162,2.0
17108-2,0.0,3,0.57,0.0,0.0,1.0,,0.0,0.017,2.0
17165-1,0.0,3,0.66,1.0,0.0,0.0,,0.0,1.946,2.91
17165-2,,3,,,,,,0.0,0.918,
17246-1,0.0,1,0.62,1.0,0.0,0.0,,0.0,4.518,1.0033333333333332
17246-2,0.0,1,0.67,1.0,0.0,0.0,,0.0,4.204,1.98
17271-3,1.0,3,0.72,0.0,0.0,1.0,,0.0,1.484,2.0
17473-2,0.0,2,0.58,1.0,0.0,0.0,,0.0,1.087,4.97
18007-1,0.0,3,0.45,0.0,0.0,1.0,,0.0,12.356,2.085
18007-2,0.0,3,0.45999999999999996,0.0,0.0,1.0,,0.0,12.492,2.0
18013-1,0.0,3,0.64,0.0,0.0,1.0,,0.0,8.691,2.0
18013-2,0.0,3,0.74,0.0,0.0,1.0,,0.0,7.612,2.0
18017-1,0.0,3,0.7,0.0,0.0,1.0,,0.0,4.628,2.0
18017-2,0.0,3,0.64,0.0,0.0,1.0,,0.0,3.93,2.0
18018-1,0.0,3,0.38,0.0,0.0,1.0,,0.0,15.702,2.0
18018-2,0.0,3,0.46,0.0,0.0,1.0,,0.0,12.884,2.0
18074-1,0.0,3,0.56,0.0,0.0,1.0,,0.0,34.652,2.04
18074-2,0.0,3,0.59,0.0,0.0,1.0,,0.0,29.341,2.0
18129-1,0.0,3,0.56,1.0,0.0,0.0,,0.0,0.375,5.09
18129-2,0.0,3,0.54,1.0,0.0,0.0,,0.0,0.594,6.0
18201-1,1.0,3,0.72,0.0,0.0,1.0,,0.0,12.248,2.0
18201-2,1.0,3,0.7,0.0,0.0,1.0,,0.0,11.673,2.0
18279-1,0.0,1,0.69,1.0,0.0,0.0,,0.0,0.074,1.0
18279-2,0.0,1,0.7,1.0,0.0,0.0,,0.0,0.123,1.97
19012-1,0.0,3,0.48,0.0,0.0,1.0,,0.0,11.919,2.0
19012-2,0.0,3,0.48,0.0,0.0,1.0,,0.0,12.696,2.0
19075-1,0.0,3,0.68,0.0,0.0,1.0,,0.0,26.964,2.06
19075-2,0.0,3,0.67,0.0,0.0,1.0,,0.0,29.156,2.0
20038-3,0.0,3,0.86,0.0,0.0,1.0,,0.0,6.89,2.0
20383-1,,2,,,,,,0.0,0.872,
20383-2,0.0,2,0.74,1.0,0.0,0.0,,0.0,0.609,3.0
21003-1,0.0,3,0.35333333333333333,0.0,0.0,1.0,,0.0,0.538,2.0
21003-2,0.0,3,0.51,0.0,0.0,1.0,,0.0,0.157,2.0
21003-3,0.0,3,0.395,0.0,0.0,1.0,,0.0,43.75,2.0
21078-1,0.0,3,0.425,0.0,0.0,1.0,,0.0,15.697,2.0
21078-2,0.0,3,0.5,0.0,0.0,1.0,,0.0,15.203,2.0
21284-1,0.0,2,0.56,0.0,1.0,0.0,,0.0,0.033,2.24
22066-1,0.0,3,0.505,0.0,0.0,1.0,,0.0,11.836,2.0
22066-2,0.0,3,0.545,0.0,0.0,1.0,,0.0,11.516,2.0
23034-1,0.0,3,0.73,0.0,0.0,1.0,,0.0,16.489,2.0
23034-2,0.0,3,0.67,0.0,0.0,1.0,,0.0,17.683,2.0
24170-1,0.0,3,0.79,1.0,0.0,0.0,,0.0,0.024,6.0
27029-1,0.0,3,0.58,0.0,0.0,1.0,,0.0,0.667,2.0
27029-2,0.0,3,0.58,0.0,0.0,1.0,,0.0,0.242,2.0
27029-3,0.0,3,0.58,0.0,0.0,1.0,,0.0,16.618,2.0
27061-1,0.0,3,0.6,0.0,0.0,1.0,,0.0,8.904,2.0
27061-2,0.0,3,0.61,0.0,0.0,1.0,,0.0,7.338,2.0
28070-1,0.0,3,0.86,0.0,0.0,1.0,,0.0,0.151,2.0
28070-2,0.0,3,0.85,0.0,0.0,1.0,,0.0,0.034,2.0
30030-1,0.0,3,0.58,0.0,0.0,1.0,,0.0,0.767,2.0
30030-2,0.0,3,0.59,0.0,0.0,1.0,,0.0,1.116,2.03
30030-3,0.0,3,0.49,0.0,0.0,1.0,,0.0,2.793,2.04
30062-1,0.0,3,0.75,0.0,0.0,1.0,,0.0,1.014,2.0
30062-3,0.0,3,0.7,0.0,0.0,1.0,,0.0,41.438,2.0
31044-1,0.0,3,0.25,0.0,0.0,1.0,,0.0,4.016,2.0
31044-2,0.0,3,0.24,0.0,0.0,1.0,,0.0,4.41,2.0
31077-1,0.0,3,0.6799999999999999,0.0,0.0,1.0,,0.0,24.912,2.0
31077-2,0.0,3,0.69,0.0,0.0,1.0,,0.0,27.94,2.0
33090-3,0.0,3,0.51,0.0,0.0,1.0,,0.0,5.761,2.0
34001-1,0.0,3,0.36,0.0,0.0,1.0,,0.0,0.414,2.0
34001-2,0.0,3,0.73,0.0,0.0,1.0,,0.0,0.056,2.0
34001-3,0.0,3,0.79,0.0,0.0,1.0,,0.0,31.573,2.0
34088-3,0.0,3,0.52,0.0,0.0,1.0,,0.0,1.582,2.0
35097-3,0.0,3,0.79,0.0,0.0,1.0,,0.0,9.811,2.06
36086-1,0.0,3,0.5,0.0,0.0,1.0,,0.0,10.391,2.0
36086-2,0.0,3,0.49,0.0,0.0,1.0,,0.0,10.422,2.0
39092-3,0.0,3,0.74,0.0,0.0,1.0,,0.0,13.804,2.0
44081-1,0.0,3,0.57,0.0,0.0,1.0,,0.0,12.058,2.0
44081-2,0.0,3,0.5,0.0,0.0,1.0,,0.0,11.363,2.0
46006-3,0.0,3,0.71,0.0,0.0,1.0,,0.0,14.314,2.0
47085-1,0.0,3,0.43,0.0,0.0,1.0,,0.0,6.375,2.0
47085-2,0.0,3,0.42,0.0,0.0,1.0,,0.0,8.459,2.0
47091-1,0.0,3,0.42,0.0,0.0,1.0,,0.0,11.228,2.0
47091-2,0.0,3,0.44,0.0,0.0,1.0,,0.0,11.426,2.0
48063-3,0.0,3,0.56,0.0,0.0,1.0,,0.0,5.15,2.0
48083-3,0.0,3,0.8049999999999999,0.0,0.0,1.0,,0.0,4.502,2.0
49005-1,0.0,3,0.49,0.0,0.0,1.0,,0.0,12.683,2.0
49005-2,0.0,3,0.51,0.0,0.0,1.0,,0.0,12.031,2.07
50087-3,0.0,3,0.69,0.0,0.0,1.0,,0.0,4.836,2.0
54084-3,0.0,3,0.81,0.0,0.0,1.0,,0.0,0.072,2.0
58082-3,0.0,3,0.99,0.0,0.0,1.0,,0.0,0.694,2.0
59015-1,0.0,3,0.68,0.0,0.0,1.0,,0.0,22.701,2.0
59015-2,0.0,3,0.68,0.0,0.0,1.0,,0.0,24.457,2.0
64080-3,0.0,3,0.68,0.0,0.0,1.0,,0.0,0.301,2.0
70004-2,0.0,3,0.57,0.0,0.0,1.0,,0.0,0.158,2.0
92002-3,0.0,3,0.91,0.0,0.0,1.0,,0.0,6.353,2.0
